"Employee id","Employee name","Employee Date"
100,"Steven King",1987-06-17
101,"Neena Kochhar",1989-09-21
102,"Lex De Haan",1993-01-13
103,"Alexander Hunold",1990-01-03
104,"Bruce Ernst",1991-05-21
105,"David Austin",1997-06-25
106,"Valli Pataballa",1998-02-05
107,"Diana Lorentz",1999-02-07
108,"Nancy Greenberg",1994-08-17
109,"Daniel Faviet",1994-08-16
110,"John Chen",1997-09-28
111,"Ismael Sciarra",1997-09-30
112,"Jose Manuel Urman",1998-03-07
113,"Luis Popp",1999-12-07
114,"Den Raphaely",1994-12-07
115,"Alexander Khoo",1995-05-18
116,"Shelli Baida",1997-12-24
117,"Sigal Tobias",1997-07-24
118,"Guy Himuro",1998-11-15
119,"Karen Colmenares",1999-08-10
120,"Matthew Weiss",1996-07-18
121,"Adam Fripp",1997-04-10
122,"Payam Kaufling",1995-05-01
123,"Shanta Vollman",1997-10-10
126,"Irene Mikkilineni",1998-09-28
145,"John Russell",1996-10-01
146,"Karen Partners",1997-01-05
176,"Jonathon Taylor",1998-03-24
177,"Jack Livingston",1998-04-23
178,"Kimberely Grant",1999-05-24
179,"Charles Johnson",2000-01-04
192,"Sarah Bell",1996-02-04
193,"Britney Everett",1997-03-03
200,"Jennifer Whalen",1987-09-17
201,"Michael Hartstein",1996-02-17
202,"Pat Fay",1997-08-17
203,"Susan Mavris",1994-06-07
204,"Hermann Baer",1994-06-07
205,"Shelley Higgins",1994-06-07
206,"William Gietz",1994-06-07
